network,image,epsilon,is_valid,is_verified,layers_with_linear_solver,time
9_200,img0,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",44.315351486206055
9_200,img10,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",19.384795904159546
9_200,img11,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",159.49701499938965
9_200,img12,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",94.24237513542175
9_200,img13,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",33.09458374977112
9_200,img14,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",164.4700162410736
9_200,img15,0.01,True,False,"[True, True, True, True, True, False, True, False, True]",549.830958366394
9_200,img16,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",107.11765909194946
9_200,img17,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",84.22146320343018
9_200,img18,0.01,True,False,"[True, True, True, True, True, True, True, False, True]",1207.199156999588
9_200,img19,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",181.02426671981812
9_200,img1,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",77.44316577911377
9_200,img20,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",53.405863523483276
9_200,img21,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",119.82086849212646
9_200,img22,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",111.54871582984924
9_200,img23,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",100.88437557220459
9_200,img24,0.01,True,False,"[True, True, True, True, True, True, True, False, True]",950.7377512454987
9_200,img25,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",23.844061613082886
9_200,img26,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",5522.560358762741
9_200,img27,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",197.09712767601013
9_200,img28,0.01,True,True,"[True, True, True, True, True, True, True, True, True]",26.64858627319336
3_10,img0,0.01,True,True,"[True, True, False]",0.17988848686218262
3_10,img10,0.01,True,True,"[True, False, True]",0.21789765357971191
3_10,img11,0.01,True,True,"[True, True, True]",0.18156862258911133
3_10,img12,0.01,True,True,"[True, True, False]",0.18352651596069336
3_10,img13,0.01,True,True,"[True, False, True]",0.20786690711975098
3_10,img14,0.01,True,True,"[True, True, False]",0.15997099876403809
3_10,img15,0.01,True,True,"[True, True, True]",0.180816650390625
3_10,img16,0.01,True,True,"[True, True, True]",0.2081010341644287
3_10,img17,0.01,True,True,"[True, True, False]",0.16441893577575684
3_10,img18,0.01,False,False,"[True, True, True]",3.910064697265625e-05
3_10,img19,0.01,True,True,"[True, True, True]",0.19083404541015625
3_10,img1,0.01,True,True,"[True, True, True]",0.18041443824768066
3_10,img20,0.01,True,False,"[True, True, False]",0.16183996200561523
6_100,img0,0.01,True,True,"[True, True, True, True, True, True]",7.786149263381958
6_100,img10,0.01,True,True,"[True, True, True, True, True, True]",6.5144054889678955
6_100,img11,0.01,True,True,"[True, True, True, True, True, True]",12.422974586486816
